participant,session,timestamp,block,trial_index,condition,valence,magnitude,target_ms_pre,target_ms_final,rt_ms,hit,pause1_ms,pause2_ms,pause3_ms,cue_ms,feedback_ms,points_change,points_total,key_pressed,rscore_scope,rscore_value
0 873q42 ,001,20251008-141930,1,1,WIN_LOW,1,1,500,500,,0,950,1085,2087,250,1000,0,0,,global,
0 873q42 ,001,20251008-141938,1,2,WIN_HIGH,1,5,500,500,,0,1168,899,2680,250,1000,0,0,,global,0.0
0 873q42 ,001,20251008-141945,1,3,NEUTRAL,0,0,500,500,,0,1000,800,2274,250,1000,0,0,,global,0.0
