participant,session,timestamp,block,trial_index,condition,valence,magnitude,target_ms_pre,target_ms_final,rt_ms,hit,pause1_ms,pause2_ms,pause3_ms,cue_ms,feedback_ms,points_change,points_total,key_pressed,rscore_scope,rscore_value
86 uz,001,20251008-101037,1,1,NEUTRAL,0,0,250,250,,0,1101,1052,2676,250,500,0,0,,global,
86 uz,001,20251008-101044,1,2,AVOID_LOW,-1,1,250,250,,0,944,1067,2706,250,500,-10,-10,,global,0.0
