participant,session,timestamp,block,trial_index,condition,valence,magnitude,target_ms_pre,target_ms_final,rt_ms,hit,pause1_ms,pause2_ms,pause3_ms,cue_ms,feedback_ms,points_change,points_total,key_pressed,rscore_scope,rscore_value
sss,001,20251008-154619,1,1,NEUTRAL,0,0,500,500,278,1,1181,935,1814,250,1000,0,0,space,global,
sss,001,20251008-154626,1,2,WIN_HIGH,1,5,500,450,286,1,922,1086,1711,250,1000,30,30,space,global,100.0
sss,001,20251008-154632,1,3,WIN_LOW,1,1,500,450,319,1,1194,816,1877,250,1000,3,33,space,global,100.0
sss,001,20251008-154639,1,4,NEUTRAL,0,0,500,450,330,1,1043,1005,1622,250,1000,0,33,space,global,100.0
