participant,session,timestamp,block,trial_index,condition,valence,magnitude,target_ms_pre,target_ms_final,rt_ms,hit,pause1_ms,pause2_ms,pause3_ms,cue_ms,feedback_ms,points_change,points_total,key_pressed,rscore_scope,rscore_value
222,001,20251008-095454,1,1,NEUTRAL,0,0,250,250,,0,1122,1177,2044,250,500,0,0,,global,
222,001,20251008-095500,1,2,AVOID_HIGH,-1,5,250,250,,0,1152,856,2674,250,500,-50,-50,,global,0.0
