participant,session,timestamp,block,trial_index,condition,valence,magnitude,target_ms_pre,target_ms_final,rt_ms,hit,pause1_ms,pause2_ms,pause3_ms,cue_ms,feedback_ms,points_change,points_total,key_pressed,rscore_scope,rscore_value
kljg,001,20251008-123132,1,1,WIN_HIGH,1,5,500,500,,0,873,900,2830,250,1000,0,0,,global,
kljg,001,20251008-123139,1,2,WIN_HIGH,1,5,520,520,,0,860,1133,2664,250,1000,0,0,,global,0.0
kljg,001,20251008-123146,1,3,NEUTRAL,0,0,500,500,,0,842,1074,2346,250,1000,0,0,,global,0.0
kljg,001,20251008-123153,1,4,NEUTRAL,0,0,520,520,,0,1050,945,2290,250,1000,0,0,,global,0.0
kljg,001,20251008-123201,1,5,WIN_LOW,1,1,500,500,,0,1149,877,2612,250,1000,0,0,,global,0.0
kljg,001,20251008-123208,1,6,WIN_LOW,1,1,520,520,,0,968,867,2806,250,1000,0,0,,global,0.0
kljg,001,20251008-123215,1,7,WIN_LOW,1,1,540,540,,0,1016,1008,2167,250,1000,0,0,,global,0.0
kljg,001,20251008-123223,1,8,WIN_HIGH,1,5,540,540,,0,1075,1037,2642,250,1000,0,0,,global,0.0
kljg,001,20251008-123231,1,9,WIN_LOW,1,1,560,560,,0,1222,1051,2758,250,1000,0,0,,global,0.0
kljg,001,20251008-123238,1,10,NEUTRAL,0,0,540,540,,0,1115,888,2331,250,1000,0,0,,global,0.0
