participant,session,timestamp,block,trial_index,condition,valence,magnitude,target_ms_pre,target_ms_final,rt_ms,hit,pause1_ms,pause2_ms,pause3_ms,cue_ms,feedback_ms,points_change,points_total,key_pressed,rscore_scope,rscore_value
adsf,001,20251008-124453,1,1,WIN_HIGH,1,5,500,500,,0,1083,833,2303,250,1000,0,0,,global,
adsf,001,20251008-124500,1,2,NEUTRAL,0,0,500,500,,0,857,1193,2296,250,1000,0,0,,global,0.0
adsf,001,20251008-124507,1,3,WIN_HIGH,1,5,520,520,,0,1120,975,2539,250,1000,0,0,,global,0.0
