participant,session,timestamp,block,trial_index,condition,valence,magnitude,target_ms_pre,target_ms_final,rt_ms,hit,pause1_ms,pause2_ms,pause3_ms,cue_ms,feedback_ms,points_change,points_total,key_pressed,rscore_scope,rscore_value
DrWagner,001,20251009-163638,1,1,NEUTRAL,0,0,500,500,,0,807,1040,1853,250,1000,0,0,,global,
DrWagner,001,20251009-163645,1,2,WIN_HIGH,1,5,500,500,312,1,1123,1076,1901,250,1000,30,30,space,global,0.0
DrWagner,001,20251009-163652,1,3,WIN_HIGH,1,5,500,500,261,1,1138,1138,1798,250,1000,30,60,space,global,50.0
DrWagner,001,20251009-163658,1,4,WIN_LOW,1,1,500,500,,0,939,958,1630,250,1000,0,60,,global,66.7
DrWagner,001,20251009-163705,1,5,WIN_LOW,1,1,520,520,,0,837,1155,1791,250,1000,0,60,,global,50.0
