participant,session,timestamp,block,trial_index,condition,valence,magnitude,target_ms_pre,target_ms_final,rt_ms,hit,pause1_ms,pause2_ms,pause3_ms,cue_ms,feedback_ms,points_change,points_total,key_pressed,rscore_scope,rscore_value
dsaf,001,20251008-100632,1,1,WIN_HIGH,1,5,250,250,,0,1097,800,2844,250,500,0,0,,global,
dsaf,001,20251008-100638,1,2,WIN_LOW,1,1,250,250,,0,1138,988,2937,250,500,0,0,,global,0.0
dsaf,001,20251008-100644,1,3,AVOID_LOW,-1,1,250,250,,0,800,1076,2037,250,500,-10,-10,,global,0.0
