participant,session,timestamp,block,trial_index,condition,valence,magnitude,target_ms_pre,target_ms_final,rt_ms,hit,pause1_ms,pause2_ms,pause3_ms,cue_ms,feedback_ms,points_change,points_total,key_pressed,rscore_scope,rscore_value
izg,001,20251008-103519,1,1,AVOID_LOW,-1,1,500,500,,0,1024,999,2183,250,1000,-10,-10,,global,
izg,001,20251008-103526,1,2,NEUTRAL,0,0,500,500,,0,880,992,2071,250,1000,0,-10,,global,0.0
izg,001,20251008-103534,1,3,WIN_HIGH,1,5,500,500,,0,961,931,2830,250,1000,0,-10,,global,0.0
izg,001,20251008-103541,1,4,WIN_LOW,1,1,500,500,,0,1201,1082,2069,250,1000,0,-10,,global,0.0
izg,001,20251008-103548,1,5,WIN_HIGH,1,5,510,510,,0,1186,858,2588,250,1000,0,-10,,global,0.0
izg,001,20251008-103556,1,6,NEUTRAL,0,0,510,510,,0,1171,974,2800,250,1000,0,-10,,global,0.0
