participant,session,timestamp,block,trial_index,condition,valence,magnitude,target_ms_pre,target_ms_final,rt_ms,hit,pause1_ms,pause2_ms,pause3_ms,cue_ms,feedback_ms,points_change,points_total,key_pressed,rscore_scope,rscore_value
Wagner007,001,20251105-115019,1,1,WIN_LOW,1,1,500,500,,0,862,1129,1634,250,1000,0,0,,global,
Wagner007,001,20251105-115025,1,2,NEUTRAL,0,0,500,500,,0,908,866,1817,250,1000,0,0,,global,0.0
Wagner007,001,20251105-115031,1,3,WIN_LOW,1,1,520,520,,0,889,832,1864,250,1000,0,0,,global,0.0
Wagner007,001,20251105-115038,1,4,WIN_HIGH,1,5,500,500,,0,1233,993,1624,250,1000,0,0,,global,0.0
Wagner007,001,20251105-115044,1,5,NEUTRAL,0,0,520,520,479,1,872,1052,1572,250,1000,0,0,space,global,0.0
Wagner007,001,20251105-115051,1,6,WIN_HIGH,1,5,520,520,,0,1230,890,1821,250,1000,0,0,,global,20.0
Wagner007,001,20251105-115057,1,7,WIN_HIGH,1,5,540,540,276,1,1000,1013,1907,250,1000,30,30,space,global,16.7
Wagner007,001,20251105-115104,1,8,NEUTRAL,0,0,520,520,,0,978,949,1689,250,1000,0,30,,global,28.6
Wagner007,001,20251105-115110,1,9,NEUTRAL,0,0,540,540,,0,947,941,1643,250,1000,0,30,,global,25.0
Wagner007,001,20251105-115117,1,10,NEUTRAL,0,0,560,560,,0,1022,1096,1625,250,1000,0,30,,global,22.2
Wagner007,001,20251105-115123,1,11,WIN_LOW,1,1,540,540,,0,765,940,1696,250,1000,0,30,,global,20.0
Wagner007,001,20251105-115129,1,12,WIN_LOW,1,1,560,560,,0,779,1100,1546,250,1000,0,30,,global,18.2
Wagner007,001,20251105-115136,1,13,WIN_HIGH,1,5,540,540,,0,1058,1113,1655,250,1000,0,30,,global,16.7
Wagner007,001,20251105-115143,1,14,WIN_LOW,1,1,580,580,,0,887,1058,1951,250,1000,0,30,,global,15.4
Wagner007,001,20251105-115150,1,15,WIN_LOW,1,1,600,600,,0,909,1065,1871,250,1000,0,30,,global,14.3
Wagner007,001,20251105-115156,1,16,NEUTRAL,0,0,580,580,,0,845,1166,1998,250,1000,0,30,,global,13.3
Wagner007,001,20251105-115203,1,17,WIN_LOW,1,1,620,620,,0,825,934,1577,250,1000,0,30,,global,12.5
Wagner007,001,20251105-115209,1,18,NEUTRAL,0,0,600,600,,0,1198,800,1760,250,1000,0,30,,global,11.8
Wagner007,001,20251105-115216,1,19,WIN_LOW,1,1,640,640,,0,1035,990,1740,250,1000,0,30,,global,11.1
Wagner007,001,20251105-115223,1,20,WIN_LOW,1,1,660,660,,0,917,1032,1582,250,1000,0,30,,global,10.5
Wagner007,001,20251105-115229,1,21,NEUTRAL,0,0,620,620,,0,952,1008,1988,250,1000,0,30,,global,10.0
Wagner007,001,20251105-115236,1,22,WIN_LOW,1,1,680,680,,0,864,1054,1570,250,1000,0,30,,global,10.0
Wagner007,001,20251105-115242,1,23,WIN_HIGH,1,5,560,560,,0,996,912,1523,250,1000,0,30,,global,10.0
Wagner007,001,20251105-115249,1,24,WIN_HIGH,1,5,580,580,,0,1009,804,1733,250,1000,0,30,,global,10.0
Wagner007,001,20251105-115255,1,25,NEUTRAL,0,0,640,640,,0,910,891,1994,250,1000,0,30,,global,10.0
Wagner007,001,20251105-115302,1,26,NEUTRAL,0,0,660,660,,0,1036,993,1635,250,1000,0,30,,global,5.0
Wagner007,001,20251105-115308,1,27,WIN_HIGH,1,5,600,600,,0,772,1075,1601,250,1000,0,30,,global,5.0
Wagner007,001,20251105-115315,1,28,NEUTRAL,0,0,680,680,,0,912,1198,1912,250,1000,0,30,,global,0.0
Wagner007,001,20251105-115322,1,29,WIN_HIGH,1,5,620,620,,0,1141,1079,1852,250,1000,0,30,,global,0.0
Wagner007,001,20251105-115329,1,30,WIN_HIGH,1,5,640,640,,0,991,837,1945,250,1000,0,30,,global,0.0
Wagner007,001,20251105-115336,1,31,WIN_HIGH,1,5,660,660,,0,1021,1163,1704,250,1000,0,30,,global,0.0
Wagner007,001,20251105-115342,1,32,NEUTRAL,0,0,700,700,,0,986,1092,1609,250,1000,0,30,,global,0.0
Wagner007,001,20251105-115349,1,33,WIN_LOW,1,1,700,700,,0,1219,1013,1701,250,1000,0,30,,global,0.0
Wagner007,001,20251105-115356,1,34,WIN_HIGH,1,5,680,680,,0,929,962,1517,250,1000,0,30,,global,0.0
Wagner007,001,20251105-115402,1,35,WIN_LOW,1,1,720,720,,0,1046,1037,1643,250,1000,0,30,,global,0.0
Wagner007,001,20251105-115410,1,36,WIN_HIGH,1,5,700,700,,0,1184,1165,1743,250,1000,0,30,,global,0.0
