participant,session,timestamp,block,trial_index,condition,valence,magnitude,target_ms_pre,target_ms_final,rt_ms,hit,pause1_ms,pause2_ms,pause3_ms,cue_ms,feedback_ms,points_change,points_total,key_pressed,rscore_scope,rscore_value
dsaf,001,20251008-124647,1,1,NEUTRAL,0,0,500,500,420,1,1135,1002,2893,250,1000,0,0,space,global,
dsaf,001,20251008-124654,1,2,WIN_HIGH,1,5,500,450,,0,1194,1113,2187,250,1000,0,0,,global,100.0
dsaf,001,20251008-124701,1,3,WIN_LOW,1,1,500,500,376,1,1249,950,2575,250,1000,6,6,space,global,50.0
dsaf,001,20251008-124709,1,4,WIN_LOW,1,1,500,500,,0,1070,952,2302,250,1000,0,6,,global,66.7
dsaf,001,20251008-124716,1,5,NEUTRAL,0,0,500,500,406,1,1142,1132,2457,250,1000,0,6,space,global,50.0
dsaf,001,20251008-124723,1,6,WIN_LOW,1,1,520,520,519,1,769,858,2898,250,1000,6,12,space,global,60.0
dsaf,001,20251008-124731,1,7,NEUTRAL,0,0,480,480,425,1,1116,1140,2374,250,1000,0,12,space,global,66.7
dsaf,001,20251008-124738,1,8,NEUTRAL,0,0,480,480,421,1,864,954,2736,250,1000,0,12,space,global,71.4
