participant,session,timestamp,block,trial_index,condition,valence,magnitude,target_ms_pre,target_ms_final,rt_ms,hit,pause1_ms,pause2_ms,pause3_ms,cue_ms,feedback_ms,points_change,points_total,key_pressed,rscore_scope,rscore_value
222,001,20251008-124317,1,1,WIN_LOW,1,1,500,500,,0,1116,964,2823,250,1000,0,0,,global,
222,001,20251008-124325,1,2,WIN_LOW,1,1,520,520,,0,1213,1116,2687,250,1000,0,0,,global,0.0
222,001,20251008-124332,1,3,NEUTRAL,0,0,500,500,,0,1118,810,2198,250,1000,0,0,,global,0.0
